category,sub_category,crimeaditionalinfo,processed_text
Hacking  Damage to computercomputer system etc,Email Hacking,My facebook id is hake koi person mere id se mare photo laga kar mare friend se money mangta hai  Pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls help me pls hel,facebook id hake koi person mere id se mare photo laga kar mare friend se money mangta hai pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl help pl hel
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"SIR WHICH MARKS RED IN COLOUR THAT HARASSMENT OF ME KINDLY STOP THIS AND WE TALK WITH ITS MANAGER BUT SAY NOTING WE DO
AND
MY MOBILE CONTACT LIST HACK AND DAILY MESSAGE AND CALLMESSAGE EVERY CONTACT NO",sir mark red colour harass kindli stop talk manag say note mobil contact list hack daili messag callmessag everi contact
Hacking  Damage to computercomputer system etc,Email Hacking,"I am studying BPES in YMCA collage and am suspecting one of my room mateswith his friends help  stolen my personal primary mail ID 

Please help me to get my mail id  Because i was linked that mail id in my all financial and governments",studi bpe ymca collag suspect one room mateswith friend help stolen person primari mail id pleas help get mail id link mail id financi govern
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Sir me bahut jyada pareshan huwo log mere contact list me call kr rhe haiplz sir kuch kariye mere mummy ko bhicall kr rhe hai plz aap kuch kriyemuze Aisa alag rha hai ki me suside kr lusir plz app kuch kriye,sir bahut jyada pareshan huwo log mere contact list call kr rhe haiplz sir kuch kariy mere mummi ko bhical kr rhe hai plz aap kuch kriyemuz aisa alag rha hai ki susid kr lusir plz app kuch kriy
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I had taken a loan from my credit app and paid on due date  I shared transaction details and screenshots with them through mail and whatsapp but they are not update the status in app They do not give any reply to my mail and continuously called to me and my family members And charging me penalty Please help me,taken loan credit app paid due date share transact detail screenshot mail whatsapp updat statu app give repli mail continu call famili member charg penalti pleas help
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I had taken a loan to a loan apk i have no money to repay on the date  they took my contact list gaving abusive language aur vo kah rahe hain ki tere family meber ke saamne photo pe chor aur repist likh ke daal raha hu,taken loan loan apk money repay date took contact list gave abus languag aur vo kah rahe hain ki tere famili meber ke saamn photo pe chor aur repist likh ke daal raha hu
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Dear SirMadam

Mujhe Instagram pe ek Money stand
loan app ki link mili use download krke main mera adharcard pan card selfi Upload ki ac no
Bad me mujhe bina puche  ru mere ac me transfer kar diye
Main bad me app ke bare me sarch kiya to app ford hai aisa pata chala
Aur ye app ne meri contact list hack karli
Ab ye app wale mujhe  ru dene ko bol rahenahi diya to dhakmi de rahe ki tumhare contact list walo ko call karke tumhari badnami karege
Aur  logo ko call bhi lagaya inhone
Call lagake gali galoch kar rahe hai

 din ka interes double mag rahe aur dhamki de rahe

Sir in application se bahot sare log fas rahe hailogo ko pahle pata nahi rahta to he app use kar lete hai
Aur badnami na ho iss chakker me in logo ko bahot sare paise de dete hai
Ye application wale sab ford hai
Ye bina accept kye dabaye load transfer kar dete hai ",dear sirmadam mujh instagram pe ek money stand loan app ki link mili use download krke main mera adharcard pan card selfi upload ki ac bad mujh bina puch ru mere ac transfer kar diy main bad app ke bare sarch kiya app ford hai aisa pata chala aur ye app ne meri contact list hack karli ab ye app wale mujh ru dene ko bol rahenahi diya dhakmi de rahe ki tumhar contact list walo ko call kark tumhari badnami kareg aur logo ko call bhi lagaya inhon call lagak gali galoch kar rahe hai din ka inter doubl mag rahe aur dhamki de rahe sir applic se bahot sare log fa rahe hailogo ko pahl pata nahi rahta app use kar lete hai aur badnami na ho iss chakker logo ko bahot sare pais de dete hai ye applic wale sab ford hai ye bina accept kye dabay load transfer kar dete hai
Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Its a ransomeware attack in my laptop and they demand  to recover my data In my laptop there is many photos of my family and some important data and billing application so please help to recover my photos and data and i want to file complaint against That person so they cannot do it again to any one,ransomewar attack laptop demand recov data laptop mani photo famili import data bill applic pleas help recov photo data want file complaint person cannot one
Hacking  Damage to computercomputer system etc,Email Hacking,Sir on January  my youtube channel was running in my system at noon and I was also watching all my reports And on the same day I turned on the channel at night then my id was logged out and when I tried to change my password B my mobile number was being told in it And with this the Facebook account was hacked,sir januari youtub channel run system noon also watch report day turn channel night id log tri chang password b mobil number told facebook account hack
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Mere sath fraud hua hemene loan application se loan liya tha or   din me  loan k  intrest k sath paid kiye fir bhi firse vo blackmail karke paise maag rahe hai or mere saare contact list hack kar liye hai mere relatives ko call karke blackmail kar rahe hai or whatsapp messages me gande word use karke roj harresment kar rahe hai paise k liye,mere sath fraud hua hemen loan applic se loan liya tha din loan k intrest k sath paid kiy fir bhi firs vo blackmail kark pais maag rahe hai mere saar contact list hack kar liy hai mere rel ko call kark blackmail kar rahe hai whatsapp messag gand word use kark roj harres kar rahe hai pais k liy
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Dear Sir
We are bulk sms service provider Today we found that some of users are sending fraud sms from their panel and when we ask them about this they say that they did not send sms like this After some searching we get to know that some other person is sending these sms from different accounts and using our panel for this fraud process We had got their IP from which they are sending these type of sms This is my humble request to look into this matter and help me and other person from this fraud as the spammer has sent around  to  lac sms till now",dear sir bulk sm servic provid today found user send fraud sm panel ask say send sm like search get know person send sm differ account use panel fraud process got ip send type sm humbl request look matter help person fraud spammer sent around lac sm till
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Ye rupee king se sms kar rahe he ki aagr upne upna repayment nehi kiya to upka loan details upke contacts ko vej denge jubki mene koi Loan liya hi nehi he inse ye rupee king app mere mobile me he hi nehi Please meri help kijiye bohot paresan hu Meri ijjat Ki sawal he Ek Indian Ki ijjat ka sawal he or ye harresment bohot logoke sath ho raha he Please help please help,ye rupe king se sm kar rahe ki aagr upn upna repay nehi kiya upka loan detail upk contact ko vej deng jubki mene koi loan liya hi nehi ins ye rupe king app mere mobil hi nehi pleas meri help kijiy bohot paresan hu meri ijjat ki sawal ek indian ki ijjat ka sawal ye harres bohot logok sath ho raha pleas help pleas help
Hacking  Damage to computercomputer system etc,Email Hacking,"Yesterday night i received an email that all my data is hacked and if i do not pay usd in bitcoin in next  hours my all data will be published including any type of voice msgs videos and pictures

I request to please take action soon as i do jot know what type of messages or recordings they have My wife and sons mobile are also hacked as they are getting messages of data used on daily basis same was received by me few days back

My email hacked is sunnyoberoitelcom",yesterday night receiv email data hack pay usd bitcoin next hour data publish includ type voic msg video pictur request pleas take action soon jot know type messag record wife son mobil also hack get messag data use daili basi receiv day back email hack sunnyoberoitelcom
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I have received  a loan of  Inr on  and it will be returned on  rs  inr but loan provider misbehaving with me He calling to my family member and misbehaving with him And he send unliggle msg about me,receiv loan inr return rs inr loan provid misbehav call famili member misbehav send unliggl msg
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,they hack my contact details and my some imeages and they forword to my contact list number and they say your number is given here if u pay some amount then we stop this other wise this is continue and thy reapeat this from tommorow please take some action about this otherwise the call my all relatives and share my images and i lose my respect in my family,hack contact detail imeag forword contact list number say number given u pay amount stop wise continu thi reapeat tommorow pleas take action otherwis call rel share imag lose respect famili
Hacking  Damage to computercomputer system etc,Email Hacking,Someone access my email id and changed email id Password and changed recovery phone number and recovery mail id  So I am not able to access my mail id I had stored some important data and personnel details in my mail id  I attach the image for login error page Please help me to recover my mail id,someon access email id chang email id password chang recoveri phone number recoveri mail id abl access mail id store import data personnel detail mail id attach imag login error page pleas help recov mail id
Hacking  Damage to computercomputer system etc,Website DefacementHacking,"I hereby would like to inform you that today ie  around  pm some unknown persongroup has hacked my facebook wwwfacebookcomsanjayraikar and instagram shanuraikar account and I want to file a complaint against that unknown person group in conspiracy who want to put me and my family members lives in some worst trouble by posting either any vulgar photos or abusive language or violent videosaudiospictures with respect to any caste religion to hurt anybody sentiments or illegal demand request money on my name  I came to know about the incident when i was checking my Instagram Account and Facebook and in the instagram some unknown person email id ie kratonterdiasortdrcom is shown below user my name
Further i have locked my facebook account with new password but not able to locked instagram account
Looking for your early action for the same

Regards
Adv Shanu Alias Sanjay T Raikar",herebi would like inform today ie around pm unknown persongroup hack facebook wwwfacebookcomsanjayraikar instagram shanuraikar account want file complaint unknown person group conspiraci want put famili member live worst troubl post either vulgar photo abus languag violent videosaudiospictur respect cast religion hurt anybodi sentiment illeg demand request money name came know incid check instagram account facebook instagram unknown person email id ie kratonterdiasortdrcom shown user name lock facebook account new password abl lock instagram account look earli action regard adv shanu alia sanjay raikar
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Sir they are tarnishing my image they have hacked my data from my mobile and are sending continuous messages to my contacts tarnishing as Fraud on my pic as attached  They are demanding money from my contacts and asking them to pay else they are threatening that they will hack even their data also Hence request you to please take stringent action against these imposters,sir tarnish imag hack data mobil send continu messag contact tarnish fraud pic attach demand money contact ask pay els threaten hack even data also henc request pleas take stringent action impost
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"On  January  My facebook and Battleground mobile india account got and unauthorised access And now i am not able access my id but its still running without my permission
I have full proof for my id and against the hacker or culprit
 
Details about the hacker given below
His Name  Sonu Chaudhary
Fathers Name  Jagan lal Gharwal
Phone no  

Let me explain full story
The boy name Sonu Chaudhary access my Facebook account through which my Battle grounds mobile india was linked After that he crased my Facebook id and add his id in my BGMI account But the BGMI account totally registeres to me i have full proof for my account From past  years i am using my account

Please help me Government Of India is the last hope for me

Bgmi id name DRAGO I GOD
Bgmi id 
Face book id Kundu Tkd

Thank you",januari facebook battleground mobil india account got unauthoris access abl access id still run without permiss full proof id hacker culprit detail hacker given name sonu chaudhari father name jagan lal gharwal phone let explain full stori boy name sonu chaudhari access facebook account battl ground mobil india link crase facebook id add id bgmi account bgmi account total register full proof account past year use account pleas help govern india last hope bgmi id name drago god bgmi id face book id kundu tkd thank
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I have downloaded sunshine loan application and fill all information after that the application shows the Rs  sanctioning but he disburse only Rs  instead of  After this fraudulence i paid this amount of Rs  at same date  feb  and also paid remaining amount of Rs  at dated  feb  after that the recovery agent continually calling me and harrash me,download sunshin loan applic fill inform applic show rs sanction disburs rs instead fraudul paid amount rs date feb also paid remain amount rs date feb recoveri agent continu call harrash
Hacking  Damage to computercomputer system etc,Tampering with computer source documents,DAY BEFORE YESTERDAY MY COMPUTER WAS TOTALLY HACKED BY A HACKER HE MADE A PAYMENT THROUGH MY COMPUTER HE CHANGED MY ALL GMAIL ACCOUNTS AND IDS HE INSTALLED HIS VIRUS IN MY COMPUTER AND ACCESS ALL OF MY IDS AND CURRENTLY I AM AFRAID OF USING MY COMPUTER BECAUSE HE STILL HAVE MY ID AND PASSWORD OF MY GMAIL AND HE CAN USE MY BANK ACCOUNT ALSOHE ALSO HACKED MY INSTAGRAMSO ITS A HUMBLE REQUEST TO NATIONAL CYBER CRIME REPORTING PORTAL PLS HELP ME OUT OF THIS BECAUSE HE STILL CAN ACCESS MY COMPUTER AND THERE ARE ALOT OF IMPORTANT DOCUMENTS IN MY COMPUTER AND GMAILTHANK YOU,day yesterday comput total hack hacker made payment comput chang gmail account id instal viru comput access id current afraid use comput still id password gmail use bank account alsoh also hack instagramso humbl request nation cyber crime report portal pl help still access comput alot import document comput gmailthank
Hacking  Damage to computercomputer system etc,Email Hacking,,nan
Hacking  Damage to computercomputer system etc,Email Hacking,Someone hacked my Facebook account and demanding  rupees for to return my id and his contact number is    i got text from this number in whatsapp demanding money demanding plz help me sir,someon hack facebook account demand rupe return id contact number got text number whatsapp demand money demand plz help sir
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Somebody hacked my contacts files and media and sending msgs and saying me that I took loan and I have to repay now if I do not repay it then they will contact and send msgs to all my contacts saying that iam fraud rapist and druggist by attaching my documents like that and they already sent msg to my contacts like this I have attached that file also and they are blackmailing me saying that they will miss use my documents everyday they are torturing me and my family and friends please help me on this and please save me from this,somebodi hack contact file media send msg say took loan repay repay contact send msg contact say iam fraud rapist druggist attach document like alreadi sent msg contact like attach file also blackmail say miss use document everyday tortur famili friend pleas help pleas save
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"The below message received from mobile no  Dear customer Your SBI Bank documents has been expired Your account will be blocked in hrs Please update your KYC in click here link httpsibitlyYSb  to my registered SBI mobile no   Hence I click on the above  link and try to complete KYC information  After completed  Percent of KYC Updation I got a message  Dear customer Your ac no  is debited for Rs on  and ac credited  IMPS Ref no  If not done  by you call SBI 
  Dear customer OTP to approve transaction of Rs from Your Ac Noending  to INFINIT RETAIL LIMITED IS  Do not share with anyone  SBI
 Dear Customer OTP to approve transaction of Rs from your AC Noending  to INFINIT RETAIL LIMITED is  Do not share with anyone SBI
 Dear Customer  OTP to approve transaction of Rs from your AC Noending   to CUBBER TECHNOLOGIES PRIVATE LI is  Do not Share with anyone  Sbi
I entered all the OTP to the fake SBI URL  and I got a message the above said  amount has been deducted to my SBI Saving account 
Finally I understood this is a fake SBI URL and Unauthorised Person theft my amount Rs  to my SBI Saving account Using Fake SBI URL with OTP I alreaday gave complliant to Local PS  Sankar Nagar at th Jan  and having CSR Copy Also gave complaint to Palavanthangal Cyber Crime on the same day",messag receiv mobil dear custom sbi bank document expir account block hr pleas updat kyc click link httpsibitlyysb regist sbi mobil henc click link tri complet kyc inform complet percent kyc updat got messag dear custom ac debit rs ac credit imp ref done call sbi dear custom otp approv transact rs ac noend infinit retail limit share anyon sbi dear custom otp approv transact rs ac noend infinit retail limit share anyon sbi dear custom otp approv transact rs ac noend cubber technolog privat li share anyon sbi enter otp fake sbi url got messag said amount deduct sbi save account final understood fake sbi url unauthoris person theft amount rs sbi save account use fake sbi url otp alreaday gave complliant local ps sankar nagar th jan csr copi also gave complaint palavanthang cyber crime day
Hacking  Damage to computercomputer system etc,Email Hacking,"My email Id has been hacked and a email was triggered to all my contacts in address book asking for a favor and whoever replied to that email they got a response that Iam currently stuck outside the country and do not have access to my phone and in urgent need of funds for a surgery requesting for fund transfer of Lakh from the recipient of email When asked about the identity my passport and PAN copy which was on my email was shared to one of my contacts
One of my contacts was provided with below details for fund transfer
Name  Sanjib Prasad
Account No 
IFSC Code  SBIN
Bank SBI Bankra Birati Branch
Also a fake id in my name aarthiramanhotmail com has been created and all replies were routed to that unauthorized email account
Below is the initial email sent to all my contacts
On Tuesday  January     pm IST aarthi raman wrote
Hope this finds you well How are you doing please reply when you get the chance need to ask a favor Will wait for your email as Im currently unavailable via phone
Regds
Dr Aarthi",email id hack email trigger contact address book ask favor whoever repli email got respons iam current stuck outsid countri access phone urgent need fund surgeri request fund transfer lakh recipi email ask ident passport pan copi email share one contact one contact provid detail fund transfer name sanjib prasad account ifsc code sbin bank sbi bankra birati branch also fake id name aarthiramanhotmail com creat repli rout unauthor email account initi email sent contact tuesday januari pm ist aarthi raman wrote hope find well pleas repli get chanc need ask favor wait email im current unavail via phone regd dr aarthi
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I take loan from some online application loan cube tytocash in some other applications some personal reasons i cant pay the dues The collection agency contact me and threadning me they send my details and photos to all my contacts list through WhatsApp they threadning me to morph my photo and sharing to all I cant handle the situation They send my photos to all my contacts Harassing me a lot they use very bad words Please help me to solve this problem,take loan onlin applic loan cube tytocash applic person reason cant pay due collect agenc contact threadn send detail photo contact list whatsapp threadn morph photo share cant handl situat send photo contact harass lot use bad word pleas help solv problem
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,They hack my mobile and contacts and blackmailed my contacts to send the money otherwise they will hack their device also First they said I have taken a loan of Rs now they are uploading my Aadhar photo to my contacts and mentioned that Im a rapist and mention my old mobile number which is not working,hack mobil contact blackmail contact send money otherwis hack devic also first said taken loan rs upload aadhar photo contact mention im rapist mention old mobil number work
Hacking  Damage to computercomputer system etc,Website DefacementHacking,Facebook instagram almost hacked i m worried about it i m not able to use facebook and instagram with my mobile nmbr my facebook and instagram account has beed hacked so please report my file against hacking,facebook instagram almost hack worri abl use facebook instagram mobil nmbr facebook instagram account beed hack pleas report file hack
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"  AG Loan Application                 
                                                                                                                                                                                              Sir Please Help Aap Se Request",ag loan applic sir pleas help aap se request
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Some unknown person approached me and asked me a loan and I also agreed and accepted but now totally changed their terms and making to pay more amount which I denied So now they hacked my mobile and all my contacts and threatening me mobile number is,unknown person approach ask loan also agre accept total chang term make pay amount deni hack mobil contact threaten mobil number
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Sar please meri help kijye maine  ka loan liya tha phir maine de diya pura lekin maine civil score check kiya usme dikha raha hai me maine bahut loan liya hai lekin maine sar khali  ka liya tha pir pay bhi kar diya tha sar please meri help kijye,sar pleas meri help kijy main ka loan liya tha phir main de diya pura lekin main civil score check kiya usm dikha raha hai main bahut loan liya hai lekin main sar khali ka liya tha pir pay bhi kar diya tha sar pleas meri help kijy
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,My phone is hacked and someone sent messages to my whats app contacts asked for money They called to my relatives and demand for money and sent fake notice from Delhi police Please take a legal action to this people who are doing this,phone hack someon sent messag what app contact ask money call rel demand money sent fake notic delhi polic pleas take legal action peopl
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"i had not taken loan for any from any loan apps yes but i had just checked
their apps and not they are telling me i had taken loan from them its not 
app almost  to  apps they are continuously harassing me on me whtapps
and they hacked ny contact number and calling my relatives without my
permissions and try to damage ymy social reputation and they are
continuously threatening me and they have hack my pan card and Aadhar
card details may be they will misuse my details in case they misuse it i will
be not responsible pls help me i need help",taken loan loan app ye check app tell taken loan app almost app continu harass whtapp hack ny contact number call rel without permiss tri damag ymi social reput continu threaten hack pan card aadhar card detail may misus detail case misus respons pl help need help
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,My phone was hacked by some fake loan apps who have hacked my contact liat and demanding money threatening to msg all my contacts and defame my image Have added screenshots They are abusing all my contacts and defaming me I have changed my number to stop receiving these mags butstill my contacts are receiving these msgs,phone hack fake loan app hack contact liat demand money threaten msg contact defam imag ad screenshot abus contact defam chang number stop receiv mag butstil contact receiv msg
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Dear SirMam my relatives received this message from above mention number as this person hacked my all data like contact list pictures my documents
They are misusing my documents and threating my relatives using abusive language with them its so hard to make relative understand that this fraud applications using our data and threating us and insulting us in publicly",dear sirmam rel receiv messag mention number person hack data like contact list pictur document misus document threat rel use abus languag hard make rel understand fraud applic use data threat us insult us publicli
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,PLEASE FAST,pleas fast
Hacking  Damage to computercomputer system etc,Email Hacking,good morning sir  am santhoshkumar while am playing bgmi video game  hindi member asking my mail id and they hacked my mail id and changed my passwords that  members name is sumit shree they asking money of  for returning my gmail they also try to hack my facebook so please kindly accept my complinet and take action against them and revert back my gmail id  thankyou sir,good morn sir santhoshkumar play bgmi video game hindi member ask mail id hack mail id chang password member name sumit shree ask money return gmail also tri hack facebook pleas kindli accept complinet take action revert back gmail id thankyou sir
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Mere sath dhoka hua ha I plz mere help Kate mere contact list hack krli gaye h or mere nude pic banakr mre safe contact par send kar rahe h or mere family ko abusing language m bat kar rahe plz mre help kare,mere sath dhoka hua ha plz mere help kate mere contact list hack krli gay h mere nude pic banakr mre safe contact par send kar rahe h mere famili ko abus languag bat kar rahe plz mre help kare
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Hello Sir

Actually I was Just searching for the loan yesterday Then I saw a app called Bellon Loan I downloaded the app and given the permission And then to check loan eligibility I submitted my PAN AadharBank Account number and Selfie Suddenly they sent me Rs  on my account without my permission or any agreement Then I noticed that this was an Fake loan app They are not telling me to pay  Rs  in  days They have uploaded my contacts to their server and sending messages and calls to my contacts They are harrassing me Bellon Loan Application is available on Google Play Store also there are many these types of application Please remove this app from the play store I am very depressed right now They are calling again and again also abusing me if i do not pay they will took legal action Please Help me and do the needful For this I will always faithfull to you
Thanks",hello sir actual search loan yesterday saw app call bellon loan download app given permiss check loan elig submit pan aadharbank account number selfi suddenli sent rs account without permiss agreement notic fake loan app tell pay rs day upload contact server send messag call contact harrass bellon loan applic avail googl play store also mani type applic pleas remov app play store depress right call also abus pay took legal action pleas help need alway faithful thank
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,A man telling himself as an official of ICICI bank telling me on the phone that I can withdraw the credited amount in cash through ATM and asked for credit card details I told him accordingly After some times My credit cards mobile got two message of deducting Rs  and Rs ICICI bank inform me that the transaction made to Payu Payment Private Limited,man tell offici icici bank tell phone withdraw credit amount cash atm ask credit card detail told accordingli time credit card mobil got two messag deduct rs rs icici bank inform transact made payu payment privat limit
Hacking  Damage to computercomputer system etc,Email Hacking,Hi Please note today morning someone hacked my email id youtube channel and twitter account of sach ki raftar news paper  news channel as per my knwolge they also hacked my mobile so please take action on urgent basis because my credit card and other some official data in my mail id of sach ki ratar may be if anyone use this for illegal perpose,hi pleas note today morn someon hack email id youtub channel twitter account sach ki raftar news paper news channel per knwolg also hack mobil pleas take action urgent basi credit card offici data mail id sach ki ratar may anyon use illeg perpos
